Tweet_count,Username,Text,Created At,Retweets,Likes
85,.,"Je suis bipolaire je crois 

Un jour j’éprouve une haine des fast food 
Le lendemain je rêve de pouvoir remanger un grec",Sat Feb 08 23:48:00 +0000 2025,0,0
86,🇫🇷 Ctrl-Alt-Droite ✝️ 🦺 🚜,"Une énième chaîne de fast-food servant de la merde hors de prix bourrée de graisse, de sucre et d'additifs chimiques. Ressortez vos casseroles et réapprenez à cuisiner, c'est meilleur pour la santé et 2 fois moins cher. #PepeChicken.",Sat Feb 08 22:56:40 +0000 2025,0,1
87,Dory Chass'Art🦌🐟🖌️,"Les enfants rêvaient de manger dans un fast food à midi... Devinez sur qui la serveuse à malencontreusement renversé les boissons en posant le plateau? Sur moiiii! 😂 La serveuse était en panique jusqu'à ce que @Gnaniou lui suggère d'aller chercher une serpillière. 
#3615MyLife",Sat Feb 08 19:52:09 +0000 2025,0,22
88,Ana chikoura,Plus je grandis plus j’ai du mal avec les fast food ..,Sat Feb 22 23:24:04 +0000 2025,1,2
89,Joli Gambergeur,j'ai jamais ete dans les trucs chicken spot chicken street etc mais ça me choque vraiment comment ces fast food fleurissent de plus en plus partout,Fri Feb 14 14:13:15 +0000 2025,0,1
90,M K Z 🥷🏼,Y’a des meufs elles sont rempli de critères mais est elle même est ce qu’elles rempli ces critères mdr c’est ça la vrai question . T’es la t’es au chômage tu fais rien de ta vie tu demandes un mec qui gagne 10k tu cuisines jamais tu passes ta vies au fast food tu veux un mec qui,Sun Feb 09 17:56:13 +0000 2025,1,7
91,𝐒𝐢𝐦𝐛𝐚𝐚☆🇵🇸 (𝐟𝐮𝐜𝐤𝐢𝐧𝐠 𝐥𝐨𝐬𝐞𝐫),j’ai plus été touché quand kekra il a dit fast food asap burger,Thu Feb 13 04:41:37 +0000 2025,0,14
92,fun Night,"@Europe1 @JphTanguy LOL 
Quand on voit que la gastronomie française est mourante, la majorité de la proposition est désormais composée de fast-food, souvent de très mauvaise qualité, on n'a pas de quoi se vanter. L'obésité a de beaux jours devant soi en France",Mon Feb 17 10:39:23 +0000 2025,2,8
93,Dîathouby,@Lazy_lazo_ @Gladyss_252 faut vraiment etre citadin pour croire que ya des fast food hors chaines partout heh,Wed Feb 19 19:00:49 +0000 2025,0,246
94,Cloud “I don’t dance” Strife,Les Chinois et Japonais dans la rizfitna pdt que les maghrébins surtout KFB révolutionne le monde du fast food mdrrrr.,Fri Feb 21 02:26:21 +0000 2025,1,6
95,Deathmask,"@UnRebeu213 @yugobe_hugo gros à part être blindé de gens irrespectueux qui parlent fort, ya rien de bien dans ce fast food de merde",Sun Feb 16 07:01:13 +0000 2025,0,4
96,Lo // Aku,@hypatiie Bah oui parce qu'à 7 ans tu étais renseigner sur les problèmes des fast food et des grosses firmes scuse marx,Fri Feb 21 22:01:35 +0000 2025,0,5
97,Actu Perpignan,"😡 Les employés de ce fast-food de Perpignan n'ont plus de salaire : ""Notre patronne n'a pas eu d'humanité"" https://t.co/YENe9MId23",Wed Feb 12 17:35:50 +0000 2025,0,1
98,AmarVolte TV,Amar et Joel quand il s’agit de manger des fast-food https://t.co/KZUaupsSLm,Sat Feb 22 13:15:16 +0000 2025,5,17
99,Max,"@le_jarl Aujourd'hui même dans les petits villages il y a du trafic de drogue, ils blanchissent l' argent dans des petits commerces de barber shop, fast food etc... sans être inquiété et autorisé par les mairies complices un véritable scandale.",Sun Feb 16 13:01:23 +0000 2025,0,6
